actual_label,predicted_label,confidence_score,text,human_review_category
hate_speech,normal,0.8539910458082194,Ulama Purwakarta Sebut Bupati Dedi Mulyadi Raja Syirik,
normal,harassment,0.810158431027317,Israel laknatullah membunuh anak nak muslim palestina,
normal,harassment,0.9292586672185456,"Akun pro zionis jadi bulan-bulanan netizen, ""Inilah akibatnya kalo berak yang dibuang "" 😁 ://",
harassment,normal,0.822379864780263,"NEWS UPDATE kumparan Y Tentara Israel serbu RS Al-Shifa, sandera lebih dari 5 ribu pasien, nakes, sampai pengungsi. KETIKA PENGUNGSI BERUBAH MENJADI PENJAJAH YANG BRUTAL
.
BIAS & STANDAR GANDA PARA PEMIMPIN DUNIA MEMBUAT PARA PENJAJAH INI TERUS MERASA AMAN & BEBAS MENJALANKAN SEMUA AKSINYA.

#Repost @kumparancom 
——
kumparancom Pasukan Israel menyerbu kompeks Rumah Sakit Al-Shifa di Jalur Gaza, Kamis (16/11) malam waktu setempat atau Jumat (17/11) dini hari waktu Indonesia. Para tentara itu juga menyandera lebih dari lima ribu orang di dalamnya, termasuk pasien, perawat, dokter, staf rumah sakit, hingga pengungsi. ⁠ 
.
Baca info selengkapnya di link bio. Jangan lupa follow Instagram @kumparancom untuk berita menarik lainnya!⁠ ⁠ 
.
#newsupdate #update #news #oneliner #israel #rsalshifa #rumahsakit #gaza #infoterkini #berita #beritaterkini #kumparan",
harassment,normal,0.9614774581378541,"NEWS UPDATE PREMS PR 107.5 FM Respons Pemkot Bandung soal Diduga ODGJ Viral Berhubungan Badan di Pinggir Jalan Moh Toha Foto: Freepik @prfmnews PMwsC PRFM News Channel 0818811075 Radio PRFM 107,5 News Channel",
harassment,normal,1.4353159459765046,"INDO ZONE #KAMUHARUSTAU Korban Tewas Serangan Israel di Gaza Tembus 10 Ribu Orang dalam Sebulan Tercatat 10.022 warga Palestina di Gaza tewas sejak konflik Hamas-Israel dimulai pada 7 Oktober. Korban tewas meliputi 104 anak dan 2.641 perempuan. Jumlah korban meninggal dunia, warga Palestina di Gaza mencapai 10.022 orang sejak putaran terbaru konflik Hamas-Israel dimulai pada 7 Oktober. 

Dilansir dari ANTARA, juru bicara kementerian kesehatan Gaza pada Senin (6/11) waktu setempat, Ashraf Al-Qudra, dalam sebuah konferensi pers di Gaza City mengatakan bahwa korban tewas meliputi 4.104 anak dan 2.641 perempuan, sementara korban luka-luka meningkat menjadi 25.408 orang.

Selain itu, terdapat 2.350 laporan orang hilang yang tertimbun reruntuhan, termasuk sekitar 1.300 anak, ujarnya.

Al-Qudra mengatakan bahwa dalam beberapa jam terakhir, pasukan Israel melakukan 19 aksi pembunuhan besar-besaran yang merenggut 252 nyawa.

Menurut juru bicara itu, Israel telah menargetkan 113 fasilitas kesehatan dan 32 ambulans di Gaza sejak 7 Oktober, menewaskan total 192 tenaga kesehatan.

Sekitar 16 rumah sakit dan 32 pusat layanan kesehatan utama telah berhenti beroperasi, tambahnya.

Sementara dari pihak Israel, lebih dari 1.400 orang tewas, sebagian besar akibat serangan Hamas pada 7 Oktober lalu, hingga memicu konflik yang sedang berlangsung saat ini.

Photo: REUTERS/Yasser Qudih

[Baca berita dan informasi menarik lainnya hanya di ]",
harassment,normal,0.967567978461385,"Sudah waktunya Amerika' Bubar. Dikit"" sangsi Dikit"" dana dibekukan Sebaiknya negara didunia kiblat Ekonomi ke China",
harassment,normal,0.886225988436274,uga ni cakep banget ya gila emang 😭✋🏻,
harassment,normal,1.2476546625635343,"dau! Minimal sekali seumur hidup kalian cobain takoyaki rizky di jalan sayang dah. Worth it banget enak, abang yg jualannya jg ramah gila",
insult,hate_speech,0.8101935328654966,Bolot atau emang kagak nyambung? URL,
harassment,normal,0.8284292776987736,Pejuang Al-Qassam menguasai pangkalan militer Erez. Dan saat ini pangkalan tersebut berada dalam kontrol pejuang. Milisi Zionis menderita kerugian besar dan melarikan diri. Pertolonga dari Allah dan kemenangan semakin dekat. #Gaza #FreePalenstine,
harassment,normal,1.1348896172104843,"SEKITAR 100 dokter Israel telah menandatangani surat terbuka yang menyerukan tentaranya untuk mengebom rumah sakit-rumah sakit di Gaza, Palestina. Sumber:",
normal,harassment,0.8853594831836947,Pan kapan iwake tak parani maning Misal esih idiot berarti fix jeneng iwake idiot bastard fish waras wutuh,
normal,harassment,0.83965592590188,"@narkosun Gila orang yang milih Prabowo. Kalau dapat sesuatu saya maklum. Kalau enggak dapat apa-apa, sama aja kamu menghancurkan negeri ini",
normal,harassment,1.2850557657700383,Saya curiga orang ini buzzer yg dibiayai zionis untuk memperbaiki citra Israel di Indonesia. Semoga kita dilindungi dari fitnah antek-antek zionis,
insult,normal,0.910347556748541,"BOT mau nanya. 'ich liebe dich' artinya apa? Yg jawab ntar BOT kasih aipet yg barusan nyemplung di jamban kuda (\xe2\x80\xa2\xcc\xaf\xcd\xa1_\xe2\x80\xa2\xcc\xaf\xcd\xa1 )""",
insult,hate_speech,1.8466093926037987,USER Dasar cebong.. hih!\n\xf0\x9f\x98\xab\xf0\x9f\x98\xa,
normal,harassment,1.059734060036515,"INGATLAH SEJARAH KEJAM SYIAH BATHINIYAH DAN SYIAH RAFIDHAH!!! (Edisi 2) ✅ Syaikhul Islam Ibnu Taimiyah rahimahullahu berkata: Tidaklah agama Nabi Muhammad ﷺ tegak di atas semua agama, melainkan dengan Ahlussunnah. Sebagaimana Islam tegak/menang di zaman kekhalifahan Abu Bakar, Umar dan Utsman Radhiyallahu 'anhum dengan kemenangan yang tidak pernah dialami oleh agama-agama yang  Adapun Syiah Rafidhah, kalau mereka tidak membantu musuh-musuh Islam, maka mereka tidak menolong kedua belah pihak. (Fatwa Dan Pendirian Ulama Sunni Terhadap Aqidah Syiah hal. 21-22 oleh Ustadz Muhammad Umar Ba'abdullah rahimahullahu) Masih percaya kalau mereka membantu kaum muslimin memerangi orang-orang Y4hud1?! Bukankah Syiah Rafidhah adalah buatan Abdullah bin Saba' Al-Yahudi?! اللَّهُمَّ إنَّا نَجْعَلُكَ فِي نُحُوْرِهِمْ ونَعُوْذُ بِكَ مِنْ شُرُوْرِهِمْ اللَّهُمَّ انْصُر الْمُسْلِمِيْنَ الْمُسْتَضْعَفِيْنَ فِي كُلِّ مَكَان وفِي فَلَسْطِيْن اللَّهُمَّ أَهْلِك الْيَهُوْدَ الْمُجْرِمِيْنَ وشَتِّتْ شَمْلَهُمْ وفَرِّقْ جَمْعَهُمْ واجْعَلْ كَيْدَهُمْ فِي نُحُوْرِهِمْ ------------------------- [*] Lebih tepatnya dikatakan Syiah Rafidhah.",
harassment,normal,0.8756636973245725,"ALHAMDULILLAH DAPAT TIKET @rahasiabulan SEE U CENGGGGG!!!!! GUA NANGIS DAN EXCITED BAGET,TEMEN GUA BILANG GUA GILA,YAKALI GA GILA NJG😁😁😁",
normal,harassment,1.2850557657700383,Saya curiga orang ini buzzer yg dibiayai zionis untuk memperbaiki citra Israel di Indonesia. Semoga kita dilindungi dari fitnah antek-antek zionis,
harassment,normal,1.0324777452471494,Dikiranya Islam itu seperti soto yang rasanya setiap negara/daerah bisa modifikasi sendiri 🤦🏽‍♂️ ======= China Ingin Gabungkan Islam dengan Konghucu dan Rilis Al-Qur'an Versinya Sendiri,
harassment,normal,1.2689531870488124,kata gue lu sbs dah gila 😭😭😭,
normal,harassment,1.0304570595131075,"**SUFI MENIRU-NIRU SYIAH..?? ATAUKAH SEBALIKNYA..??!! (studi banding antara aqidah tokoh syi'ah :Al-Khumaini dan aqidah kaum sufi : At-Tijaani, Alwi Al-Maaliki, Habib Al-Jufri, dan Habib Munzir)** **Sungguh kita menemukan permusuhan yang sangat sengit dari kaum syi'ah dan aswaja imitasi (baca : sufi) terhadap aswaja asli (baca : salafy atau yang dinamakan oleh kaum sufi sebagai wahabi). Seakan-akan musuh mereka hanyalah kaum wahabi. Ada apa gerangan antara Syi'ah dan Aswaja, kenapa sama-sama bersepakat memusuhi kaum wahabi..??!!** **Rahasianya adalah adanya kesamaan antara dua kelompok ini, terutama dalam peribadatan kepada penghuni kuburan dan para wali !!! Tidak heran jika SYI'AH & ASWAJA SUFI : - Sama-sama hobi meninggikan kuburan…??!! - Sama-sama hobi beribadah di kuburan…??!! - Sama-sama hobi meminta dan beristighotsah kepada penghuni kuburan..??!! - Sama-sama hobi mencari barokah dari pasir yang ada dikuburan para wali?? - Sama-sama berlindung dibalik topeng ""cinta kepada Ahlul Bait…"", atau ""Demi menghormati Ahlul Bait"", seakan-akan kecintaan kepada Ahlul Bait dan kesyirikan adalah dua perkara yang saling melazimkan !!!** **Entah…apakah kaum aswaja sufi yang ikut-ikutan taqlid buta kepada kaum syi'ah??, ataukah sebaliknya??!!** **[]()** **Vidio** **Kasus yang jarang diketahui oleh masyarakat NU sendiri []()** **Kasus yang jarang diketahui oleh masyarakat NU sendiri []()** **Bagai Kotoran Unta Dibelah Dua || Ulama Syi'ah Sedang Bertaqiyah Berbagi Hadiah Dengan ASWAJA** **[]()** **Kesamaan NU DAN SYIAH. []()** **Berdo’a di kuburan itu boleh []()** **Keutamaan Ziarah kubur []()** **Menopang** **BONGKAR SYIAH DG IRAN SBG POROSNYA >** **[]()** **Pengkianatan syi'ah dalam sejarah > []()** **Sejarah Berdarah Syi'ah Rafidhah > []()** **Abu Salafi sang Majhul induk kedustaan yang sering di nukil Nukil kaum semisalnya > []()** **Hati hati Pro dan Kontra Kita gak tau yang komentar itu siapa syi’ah atau > []()** **Kenali A Media Islam , A media Syi'ah ,** **Maka lihatlah siapa mereka akan Nampak tautan di lapaknya** **[]()** **Komplit Syi’ah Dan Kumpulan Bantahan >** []()",
hate_speech,insult,1.132735780843742,USER biar mampus',
harassment,normal,0.9348830814934646,"elang berakhirnya kontrak, pengerjaan proyek pembangunan gedung Puskesmas Bandarkedungmulyo, Kabupaten Jombang mengalami kendala keterlambatan hingga dikeluarkannya Show Cause Meeting (SCM) dua kali. #fuji Ketua KPK #panas #Nyesel Sri Mulyani ODGJ",
harassment,normal,1.4925483111736058,"Gila sehari kena Rate Limit 2x, X mang beda 😂",
normal,insult,0.9096372046360615,USER eue lewat mulu',
harassment,normal,0.9115081129848389,"The real dakjal israel teh kenapa sih ya Allah gak tega bgt liat palestina, bisa apa aku disini huft. 💔💔💔",
harassment,normal,0.9904078800006137,dan Jokowow akhirnya bisa mengurangi angka pengangguran di China #Bercanda,
harassment,normal,1.3145632882263354,"Hasil Pengeluaran Pasaran CHINA Hari Minggu, 10 September 2023 Prize 1️⃣ : 3971 Prize 2️⃣ : 7590 Prize 3️⃣ : 0641 Shio : ULAR Selamat kepada para pemenang jackpot.🙏🏻",
harassment,normal,0.969574122750369,"Marf 2hr org gila mana yg makan pizza, pizzanya dicelupin ke kuah kangkung Kayanya enak",
harassment,normal,1.2451992007983153,"Lr SIND ONEWS INTERNATIONAL Serangan Udara Israel Hancurkan RS Indonesia di Gaza, Staf Lokal MER-C Tewas FOTO: REUTERS Serangan udara Israel menghancurkan RS Indonesia yang berada di Jalur Gaza, Palestina. Satu staf local MER-C, Abu Romzi, yang tengah berada di dekat lokasi syahid akibat serangan tersebut. 

Kabar duka disampaikan oleh Farid, salah satu relawan MER-C yang masih berada di Jalur Gaza. Sarbini Abdul Murad, mengutuk serangan brutal Israel ke Jalur Gaza yang menyasar Rumah Sakit. “Kami mengutuk serangan Israel ke Gaza yang menyasar Rumah Sakit!” ujar Sarbini.

Baca Selengkapnya: 

#SindoNews #israel #gaza #palestina #hamas",
harassment,normal,0.8070557770598661,#Terpopuler Elon Musk buka-bukaan soal putranya yang kini jadi transgender wanita. Elon menyalahkan sekolah atas perubahan yang dialami sang putra.,
harassment,normal,1.1210002030049664,"Royal Riders Indonesia (Rori) Chapter Banten merayakan HUT ketiga dengan aksi kegiatan sosial, dari tanam pohon dan berbagi dengan penghuni panti ODGJ",
normal,hate_speech,0.8768840589954665,Ajak pak USER bikin parpol yak pak ð???,
harassment,normal,1.5142578870490637,🐈 Gila ya mnrt gw binus! Ga peduli sm kesehatan mental mahasiswanya. Kamis gw ada uts tapi besok rabu masih ada kelas dri jam 07.00 - 17.00 blm lagi semester ini di jurusan gw semua matkul closebook. We need a break,
normal,insult,1.337194051280091,USER Bokef indo ngewe',
harassment,normal,1.2131755939244087,"Menyesatkan, Klaim Mogok Makan Pengungsi Rohingya di Aceh Karena Minta Tempat Tinggal yang Enak",
normal,hate_speech,0.8362769341024154,"Atas dasar itulah, DPR diminta segera rampungkan revisi UU Terorisme untuk melindungi segenap bangsa Indonesia dari serangan keji teroris. #POLEMIKPemberantasanTerorisme'",
harassment,normal,0.8236353058342211,"Korban Serangan Zionis Israel di Gaza Palestina, Staf PBB yang Tewas Meningkat",
normal,insult,0.8373749715490724,USER Peh aku dah cacat weh',
normal,harassment,1.4145445017501932,"Anwar Usman Dipecat karena Langgar Etika demi Memuluskan Pencalonan Gibran, Keputusan Pencalonan Cawapres Cacat Secara Hukum dan Etika! Baca Selengkapnya :",
harassment,normal,0.8044755605741339,"Bukan Cuma McDonald’s! Ini Daftar Produk Boikot Israel yang Bikin Heboh, Apa Saja? : Jabar ekspres / fitriyanaanugrah #jabarekspres #McDonalds #Israel #ProdukBoikot",
harassment,normal,1.0283527677725295,8 point penting visi misi Ganjar – Mahfud Md untuk membangun Indonesia unggul . tag || Guru Papua Setan Yati Hamas Fore November Rain Palestina Antisemitism Ganjar Presiden Pose Elkan Islamophobia Lindsey Graham Israel Sarapan ||,
normal,harassment,0.8244723807697211,"Begitu kejam Tentara Israel biadab thdp warga Palestine,setlah dibunuh di tusuk dg tombak lagi dikemaluan dn dubur,Israel Zionist yg paling kejam(Genocide) didunia,Israel negara teroris menguasai tanah Palestina scr tdk sah,AS dn sekutunya diam,DK PBB ada hak veto AS,PBB ga adil",
hate_speech,insult,1.732934737066428,USER Dih kntl.',
harassment,normal,0.7920695495603602,jika tidak anonim maka setidaknya informasi rahasia,
normal,harassment,1.1528400366051108,Di Indonesia Ncep malah mendukung zionis,
harassment,normal,1.7804372561048003,"Jet Tempur Israel Serang Menara Pengawas Palestina di Gaza INTERNASIONAL24JAM Pesawat tempur Israel pada Jumat (16/9/2023) menargetkan menara pengawas Palestina di dekat sisi timur Kota Gaza.

Kabar tersebut diungkap sumber keamanan yang melaporkan tidak ada korban jiwa.

Serangan udara itu terjadi menyusul demonstrasi yang diorganisir ratusan pemuda di sepanjang pagar Gaza untuk mendukung Masjid Al-Aqsa dan solidaritas dengan para pemogok makan Palestina di dalam penjara-penjara Israel.

Dalam pernyataan, pasukan pendudukan Israel mengatakan ratusan warga Palestina “membuat kerusuhan” di perbatasan Israel, termasuk, “Meletakkan alat peledak di penghalang keamanan dan melemparkan granat ke arah pasukan.” 

Pendudukan Israel juga mengonfirmasi tentaranya yang ditempatkan di daerah tersebut merespons unit pembubaran kerusuhan dan tembakan langsung.

Setelah demonstrasi tersebut, pasukan pendudukan mengatakan mereka melancarkan serangan pesawat tak berawak terhadap “pos pengamatan Hamas di dekat perbatasan.”


#international #news #internasional #beritainternasional #internasional24jam",
insult,normal,0.850223601272382,"Bila hg dah giveup pakai seluar panjang, haaaa kain batik jugak malam niii.. PANAS GILA WOI'",
normal,harassment,0.950589270080849,"Dua priode jadi presiden dari negara berpenduduk 280jt jiwa masih di anggap petugas partai,,,emangnya yg milih cuma simpatisan partai?, gila lo jerrr,, Pdhl 7 x ikut pemilu belum pernah nyoblos partai selain PDIP dari masih PDI, tapi 2024 mohon maaf, #SayaBersamaJokowi",
harassment,normal,0.7859014771649127,"Menyesatkan, Tentara Cina Mendarat di Bandara Sam Ratulangi Manado untuk Memusuhi Indonesia #TempoCekFakta #CekFakta",
harassment,normal,0.8447857359271893,"Israel Lakukan Kejahatan Perang, Targetkan Staf Medis Palestina: Gaza Mulai Digempur dari Darat @tribunnews",
hate_speech,insult,0.7891543581733658,jom mampus.',
insult,hate_speech,1.007910000541448,RT USER: Banci mahal pelangganya keren2 \xf0\x9f\x98\x83. USER URL,
normal,hate_speech,1.2515285141872334,"USER Bloon lebih bawah dari bodoh, di bawah bloon ada goblok'",
normal,hate_speech,0.8905775706199874,USER Presiden Threshold adalah upaya rezim untuk mempertahankan kekuasaannya yg cenderung otoriter',
normal,insult,1.046267402493584,"USER dia tau tau ngechat gua beb ,gada angin gada tsunami wkwk ngasih tau kalo temen TA gua yg satu lg join rp jd yuta fak bat .. pas gua iseng on di jandro de'e nge unfol gua . wkwkwk cacat bat""",
harassment,normal,1.0927512047060115,"Ditunda hari Selasa katanya perang darat Israel mau ke Gaza.Menunda karena banjir,atau takut keok😁🇵🇸🥁 #PalestineIsraelwar Persiapan,Hamas",
normal,harassment,0.9036068088431305,"Kepala Urusan Agama Turki mengeluarkan fatwa: larangan (Haram) memberikan dukungan kpd penindas, penjajah dan teroris Zionis, atau mereka yang mendukung mereka secara langsung atau tidak langsung Membeli produk Zionis atau produk perusahaan yg mendukungnya dilarang (Haram)",
harassment,normal,1.1323972813010479,"Menurut juru bicara TPN Ganjar-Mahfud, Bane Raja Manalu, putusan MKMK membuktikan bahwa putusan MK mengenai batas usia minimal calon presiden-calon wakil presiden cacat moral. < #MKMK #AnwarUsman #KetuaMK",
hate_speech,harassment,1.07412526019951,"orang bego gini kok direkrut jadi kader ya? masih pinter tukang sayur.....komemtar nya khan ngga ada yg berkualitas......kelihatan IQ nya seberapa tinggi? kasihan sih di bully terus, tapi memang sangat oantas di bully, sebab komentar nya sangat renfah kual",
normal,harassment,1.149396566645343,"Kalau hukum formal tidak bisa membatalkan pencalonan yg cacat hukum ini, gak usah kuatir. Masih ada hukum non-formal. KEDAULATAN ADA DI TANGAN RAKYAT. PASTI TIDAK AKAN TINGGAL DIAM dengan segala carut-marut hukum yang sudah ""telanjang"" dan ""meresahkan"" akal-akal yang waras. INDONESIA KITA HARUS DISELAMATKAN! 💪😎🇲🇨",
harassment,normal,0.9520125078386567,Jual mesin tapi g tahu sistem mesinnya = Sales Mesin Cina,
hate_speech,insult,0.9648136128266831,"USER Gini nih klw orang keluar dari memek perek ,,ngapa luh gak seneng gw bilang bgtu emak lu perek,,ketemuan yuks'",
normal,harassment,0.9793464360456273,REMPANG BUNDA TANAH MELAYU Di tengah gejolak di Pulau Rempang dan amuk warga Melayu gegara investor China. Ada keturunan China asal Batam yang bisa maen Suling pake korek api. Semoga bisa sedikit meredam,
harassment,normal,1.2625765208161537,"APA? ADA APA 水 ADA APA ? KORUT Disebut Bela Palestina, Ogah Dukung Israel   @ @pontianakinformasi PniankInformas Pontianak Pemimpin Korea Utara, Kim Jong Un diyakini memberikan dukungan terhadap Palestina, yang terus-terusan digempur Israel.

Kepala Badan Intelijen Nasional Korea Selatan, Kim Kyou Hyun, meyakini Korut telah memantapkan posisi untuk menyalurkan dukungan bagi Palestina.

Dilansir dari Korea Herald, Sabtu (4/11), Kim Kyou Hyun menduga Korut mendukung Palestina untuk meraup keuntungan dari konflik di Timur Tengah.

#KanalAspirasi #KanalAduan #AplikasiAduan #DigitalMarket #MediaOnline #5November2023 #AdaapaPI",
harassment,normal,1.3933590420041377,Hyo seop gila bgt kalo rambutnya dibelah dua,
harassment,normal,0.8434697548636656,Malem minggu ngene iki penake ngantemi wong Israel,
hate_speech,insult,0.8836638461985187,USER Cih najis',
hate_speech,insult,1.034227161212959,"USER Apaansi tai baru gt doang belagunya udah selangit. Ga inget ada karma? Ntar bbrp taun lagi kalo idol lu flop, gua ketawa paling keras.'",
harassment,normal,0.9536040932819303,Apa kita bisa open donasi ya tapi bukan bantuan kemanusiaan tapi buat pesen rudal di kirim ke israel #PalestineLivesMatter #IsraelGazaWar #PalestineGenocide #GazaAttack,
harassment,normal,0.9557857520212225,"alay? biarin, dari pada gw gila",
normal,harassment,0.8948908574468847,Para pakar hukum tata negara menilai Gibran adalah Cawapres Cacat Hukum karena akibat dari putusan MKMK yang telah memberhentikan Ketua MK Anwar Usman telah melanggar kode etik sebagai Hakim konstitusi,
harassment,normal,1.2801349501969455,"ena ada အး 旨 Puluhan Tentara Israel Mati Tertimpa Bangunan Runtuh TIMES Indonesia TIMES TV Israel mengumumkan hari ini paling mematikan bagi pasukannya sejak invasi darat Gaza, karena 21 tentaranya mati kejatuhan bangunan yang runtuh oleh ledakkan bahan peledak yang mereka tanam di dalam sebuah bangunan berlantai dua di Jalur Gaza selatan, Senin (21/1/1024) kemarin.

Senin kemarin sebenarnya ada 24 orang tentara Israel yang mati. Tiga tentara lainnya mati karena pertempuran di kota Khan Younis di Gaza selatan

Ke 21 tentara Israel yang mati kejatuhan bangunan yang meledak itu, sedianya mereka bersiap memang akan meruntuhkan bangunan di Jalur Gaza selatan itu dengan bahan peledak.

Ada yang menduga meledaknya gedung itu kemungkinan oleh tembakan RPG dari militan Hamas. 

Kematian 21 tentara Israel ini adalah satu-satunya insiden paling mematikan sejak dimulainya serangan darat Israel di daerah kantong tersebut, dan menambah jumlah korban tewas militer dalam operasi tersebut menjadi 219 orang.

#TentaraIsrael #JalurGaza #Gaza #Palestina #Israel",
hate_speech,insult,1.9067167400111593,RT USER: Milanisti kampret URL,
harassment,normal,0.9289166460957319,"Daku yang tuli atau Dikau yang bisu? Tak tahu, berdua Mana yang tentu",
harassment,normal,1.3094183919157774,As boleh kirim senjata u bantu israel kenapa negara lain tdk boleh krm bantuan senjata ke palestina. AS Kirim Kapal Perang & Jet Tempur Bantu Israel Serang Hamas,
harassment,normal,0.9700374776934744,@Nurhikm27894940 @McGyver2390 @katz_nadaHQ @antikadrunbang @Kappa_2023 @SpentaMainyu01 @AyaniMel @johnhomebapa @MashudulHAQ1945 @HabanglaliK @IkaSembiring13 @Karsono12732862 @Royedy6 @Amox1L1N @JinNonik @tdkistimewa @perbowo @JhontalJk @ScioCogitoCredo @Matahari_tmr @ajegilelu1 @BaimSuhadi @syekh_kyai_lmao @JokoPintar2 @rajenang @LonenyDragon @Alfatih007Mr @FeriSuryaSugia1 @novi_km @Valhallaah @Adiinotrino @katz_bornagain @halo_lentera @asasfuro @Greschinove @emanitaa18 @NasrulKohar @DiposuroP @ibn_sjamsu @PaijoKhentir @we_5jog @MelodiAsyik @MarioInferno @aditya_bp @Balistta @oktorivan @Dayak_strong @angling_darma18 @eko_is_oke @YanFx_TRade Orang kapir menuding untuk menutupi kebusukan ajaran kristen protestan dan katolik.,
harassment,hate_speech,0.9646488946858656,"Tak perlu lagi itu DPR/D, MPR , PRESIDEN, PEMERINTAH RI, APARAT POLRI & TNI ..! PERCUMA , KALIAN ITU HANYA JADI JONGOSNYA BAJINGAN CHINA KOMUNIS ASEING ...! KALIAN2 ITU HRS DI BUBARKAN , DI TANGKAP , DIADILI OLH YG PUNYA NEGARA YAITU BGS RKY INDONESIA PRIBUMI TULEN..!",
harassment,normal,0.9287765216849238,Ledakan di Israel yang Disembunyikan,
normal,harassment,0.8206625987694199,"🏴🏴🏴 😂🤣😅 Pribumi bersusah payah melawan kolonial penjajah, setelah MERDEKA diklaim YAHUDI YAMAN merekalah yang pejuang, CINA lebih licik lagi, setelah MERDEKA membayar pejabat untuk menggusur pribumi. 2024 RI BUBARAN??? #KembaliKeAllah",
harassment,normal,1.5866114253393289,Otoritas Filipina menuduh China melakukan “manuver berbahaya” di Laut China Selatan (LCS) yang disengketakan.,
normal,harassment,0.9843379552004526,NERAKA SAHAJA TEMPAT PALING LAYAK BUAT GOLONGAN PELAKSANA DAN PENYOKONG ISRAEL NI. BARUA BETUL. PALING LAYAK DIHINA DAN DICERCA. FUCK YOU.,
harassment,normal,1.2285158530997218,"kemarin itu fyp ku nikahan batak semua, trs drtd pagi fyp ku udh doa bapa kami katolik. curiga suamiku memang orang katolik mhihihi",
normal,insult,0.9085976411502652,"USER aku baru lahir langsung bisa makan nasi, gapake nete :)'",
