text,true_label,pred_naive_bayes,pred_logistic_regression,pred_svm
hujat njangan munafik non,hate_speech,hate_speech,normal,normal
foto gaza ambil wib serang udara balas angkat udara israel akibat operasi kejut h mas lanjut kabar baru idf tentara cadang mobilisasi operasi iron sword serang balas kerah tentara besar sejarah paska yom kippur menteri tahan israel kepung gaza putus suplai listrik makan air bersih juta warga sana rusia wakil vassily nebenzia duta rusia pbb sepakat gencat senjata runding belah konflik lansir reuters wakil resmi h mas sedia buka bicara gencat senjata israel moussa abu marzouk wakil resmi h mas al jazeera wawancara telepon hamas buka gencat senjata sumber,threat,normal,normal,normal
pawanf monyet pawang monyet,insult,hate_speech,normal,normal
pasu juang hizbullah lancar serang pusat jamming yahudi laknatullah peluru kendali n pusat komunikasi jahat n drone amerika bantu awas udara n tuk foto video n drone tulis surat n maaf,insult,normal,normal,normal
ummar bin khatab ahh jablay poligami,hate_speech,insult,insult,insult
onta xf x f x x,normal,hate_speech,hate_speech,hate_speech
palestina lawan israel israel kalah palestina palestina tanah kaum muslimin palestina negeri pilih tanah pilih allah subhanahu wa ta ala tetap berkah tanah palestina tanah syam berkah runut syam hijrah nabi ibrahim alaihissalam singgah nabi muhammad shallallahu alaihi wa sallam jalan isra mi raj dakwah nabi dakwah bawa misi agama tauhid lantar ada masjidil aqsha tanah palestina penuh berkah allah subhanahu wa ta ala firman                                                                                 maha suci allah jalan hamba malam al masjidil haram al masjidil aqsha berkah keliling lihat tanda tanda besar sungguh maha dengar maha al israa mulia tanah palestina allah pilih mek madinah allah pilih nabi muhammad shallallahu alaihi wa sallam jadi khatamul anbiya wal mursalin referensi palestina senjata utama palestina doa saudara ummat muslim dunia,threat,normal,normal,normal
ew white boys who use the n and r words and joke about being gay and rape,harassment,harassment,normal,normal
alot keluar sertifikat halal komponen mikro tengara sentuh asal babi alami dekomposisi molekular atomik cap haram najis alami proses dekomposisi molekular rame,normal,normal,hate_speech,hate_speech
model kaya gin cukup,hate_speech,normal,normal,normal
barang cina sy males tunggu,normal,normal,hate_speech,normal
budek anjir,normal,insult,insult,insult
bicara swasembada pangan kbar food estate ajah gagal tag lgbt viva la vida chris martin m kamimuak bu mega freeport no taiwan babymonster vagabond ginting,insult,normal,normal,normal
edar bupati fatwa majelis ulama indonesia mui kait boikot produk dukung israel sebar tempel swalayan restoran cepat saji garut jawa barat koordinator aliansi umat islam aui ceng aam bantu sosialisasi hasil edar bupati fatwa mui massa tindak lawan hukum tempel edar fatwa mui kait boikot produk israel kerja orang muslim ganggu rusak toko massa tindak lawan hukum tempel edar fatwa mui kait boikot produk israel kerja orang muslim ganggu rusak toko bantu sosialisasi boikot produk israel ceng aam jumat simak berita lengkap,threat,normal,normal,normal
begal arab buta huruf nabi begal sadis kelompok lampung rampok bunuh karyawati bekuk,hate_speech,normal,normal,normal
rp haneul sok mes cupu dientotin on retweet,harassment,insult,hate_speech,hate_speech
nu aku said aqil kiai pilih jokowi,hate_speech,normal,normal,hate_speech
hijrah hijrah arah parah karna sarana duit ahlikul mabok nikmat selangkang pecun dasar isi otak sempak susah robah,threat,hate_speech,harassment,harassment
gelas kopi nbarulah temu kasih nterserak ampas hitam nyang cipta tuhan n url,normal,hate_speech,hate_speech,hate_speech
benci cemburu seringkali bajing oyak ngoyak isi hati s xe x xa,insult,hate_speech,hate_speech,hate_speech
i confused gila instructor tibe bbual in chinese to me step mne phm uh cing cong ling long ding,insult,normal,normal,normal
budaya china sok sok an pake ngeluarin bg china hadeh,insult,hate_speech,normal,normal
prof sikap orang kristen rumah muslim sebar agama kristen sekte johovah,normal,normal,hate_speech,normal
orang jurnalis lapor tewas liput perang israel palestina jurnalis israel jurnalis lebanon,normal,normal,threat,normal
ahh kayak peduli pake jaket fekaes skalipun mo pake jaket pki jugak tetep buka huehue,normal,normal,hate_speech,normal
daftar senjata milik hamas serang israel,threat,normal,normal,normal
yaelah terobos lampu merah kalem bro polisi nerobos ngejar dongo,hate_speech,normal,normal,hate_speech
pas poto soulmatenya nasi kotak xf x f x x klo pasu nasi kotak terima salaaaam,hate_speech,normal,normal,normal
pilpres ada kalah menang resiko dendam benci saudara bodoh,normal,normal,insult,normal
hoax identik jokowi esemka ekonomi roket klaim hasil sby infovalid,hate_speech,normal,normal,normal
asli kali ketemu ama fans asa pusat dunia dunia putar keliling doang idol doang suka babi buta nyerang orang dapat sipaling,normal,normal,insult,normal
parpol cari benar ayo tenggelam pdip level kepala perintah rugi negara rugi bangsa,hate_speech,normal,normal,normal
liat berita rohingya greget ih kek apansi wni susah pke ngurusin parasit warga aceh gausa nunggu aparat lgsg usir,normal,normal,hate_speech,normal
peluk jasad anak bunuh serang udara israel kota rafah gaza selatan,normal,normal,hate_speech,normal
trus sampah seprti jadi negeri maksiat komunis mabok umat islam merdeka negeri,hate_speech,hate_speech,normal,hate_speech
ava anjing dn monyet hadeh,insult,insult,hate_speech,insult
lucu zionis pesek,insult,hate_speech,hate_speech,normal
baca berita rs indonesia gaza tuding tunnel hamas israel rs indonesia bom israel tukang bunuh tukang fitnah,insult,normal,normal,normal
julidin kampus gila gila an,insult,normal,normal,normal
potret polisi rezim,normal,normal,hate_speech,hate_speech
ganjar tolak israel bukti yng yng molor agama senjata,insult,normal,normal,normal
israel sebar hoax seluruh dunia orang foto aku militan ham bilang ambulance edar sejat petinggi ham s sembunyi rumah sakit tribunnewa tribunnew update israel dungu percaya kibul hamas sebar tuju serang rumah sakit ambulance medis,threat,normal,hate_speech,normal
anies yaman keluarga bangsa indonesia presiden ri kemudi asal bangsa cina jepang usa arab saudi yaman inggris jerman dll selamat nkri jiwa bangsa pribumi asli suku nusantara indonesia,hate_speech,normal,normal,normal
sudut pandang beda beda kisah orang buta pegang tubuh gajah beda bentuk karna pegang fg,hate_speech,normal,normal,normal
anak s s s gila tante,hate_speech,normal,normal,normal
sticks and stones may break my bones but names can never hurt me,harassment,normal,normal,normal
erti sejarahfrederick douglass juru bicara black peoplemereka robek robek wakil,hate_speech,normal,normal,normal
bukti tumbuh ekonomi stagan jaman sby sdah proyek joko hasil ngutang cina selesai proyek proyek proyek infrastruktur pemda otonomi daerah klaim prestasi,normal,hate_speech,hate_speech,hate_speech
mohammad natsir said saudara politik politik saudara buta politik saudara buta politik saudara makan politik wolkshit double tap fakta tarik follow informasi unik tarik hibur uang tunai cair paylater jamin trusted amanah wa,threat,normal,normal,normal
israel agama kristen yahudi komunis,insult,normal,normal,normal
bodo bngs uas url,hate_speech,insult,insult,insult
onta ngomong,normal,hate_speech,hate_speech,hate_speech
gila wasit,insult,normal,normal,normal
celeng kgn y,insult,hate_speech,hate_speech,hate_speech
manusia dasar bisex,normal,hate_speech,hate_speech,hate_speech
wartawan mohamed al aloul agens anadolu selamat jalan anak orang saudara syahid serang udara pesawat zionis laknat israel kem al maghazi gaza palestina,harassment,normal,normal,normal
sukamautau sc israel curi jenazah orang pal stina duga ambil organ tubuh jual jurnalis investigatif swedia donald bostro m ungkap fakta israel duga curi mayat warga palestina organ jenazah warga palestina curi jual bostro m pbb tindak apa desember ahli patologis utama l greenberg national institute of forensic medicine yehuda hiss aku wawancara israel ambil organ jenazah palestina izin keluarga israel duga pakai organ tubuh orang palestina teliti medis universitas israel via faktanyagoogleofficial,hate_speech,normal,normal,normal
say no israel israel team hell you tube claudyvas netizen tanda artis selebgram lokal duga pro israel you tube vasnews warganet bondong bondong ekspos deret selebriti artis influencer dapat like unggah nada pro israel unggah salah satu foto gambar bintang daud simbol bendera israel tulis i stand with israel diri israel unggah aktris nama gal gadot sontak warganet seru henti ikut selebriti lantar tuding pro zionis konflik palestina israel source,hate_speech,normal,normal,normal
etnis tionghoa rakyat asli uud,hate_speech,normal,normal,normal
ayo sambut anggota surya kencana jongos china syukri nurdin muhammad mustari osparta devi syahputra gucci,insult,normal,normal,normal
arsenal pas derby jelek main lawan tottenham jelek lawan chelsea jelek ngga shot on target gila,insult,normal,normal,normal
dasar laku permainanp,normal,normal,harassment,hate_speech
matanajwadebatjakarta anies tinggal tenang tulus debat malam mjd agitatif licik moga kalah kau anjing,hate_speech,normal,normal,normal
firasat israel kejar deadline tebak netanyahu sekutu rencana timur rencana cuman israel hasil kuasa palestina busuk zionis henti palestina,hate_speech,normal,normal,normal
n n eh karcis parkir n engga pegang n ah tai serius n ntiap mall,insult,normal,normal,normal
s olahraga pake baju item ketat gin ajak ngobrol ama badan latih sadar gay keyword khas komunitas alhamdulillah syukur tahan prinsip buang angin suara nyaring dol bunyi poooh otot dubur longgar s olahraga pake baju item ketat gin ajak ngobrol ama badan latih sadar gay keyword khas komunitas alhamdulillah syukur tahan prinsip buang angin suara nyaring dol bunyi poooh otot dubur longgar,hate_speech,normal,normal,normal
bolot,insult,insult,threat,threat
kurikulum cinta indonesia hapus ganti kurikulum cinta cina,hate_speech,normal,normal,normal
kivlan cs jerit jerit komunis hidup,hate_speech,hate_speech,normal,hate_speech
ulama purwakarta bupati dedi mulyadi raja syirik,hate_speech,normal,normal,normal
syiah n sunni satu gempur yahudi zionis bebas al aqsho wahabee piye,insult,normal,normal,normal
kulit item burik gitu wks,insult,hate_speech,hate_speech,normal
kpu mesti putus mk mk wenang rubah pasal putus cacat hukum boleh thn maju cawapres kpu putus mk batas usia capres cawapres,normal,normal,insult,normal
infocimahi israel hamas tuju sepakat gencat senjata bebas sandera gaza palestina gencat senjata tuju perintah israel umum kantor perdana menteri pm israel benjamin netanyahu rabu bebas sandera wanita anak anak tawan gaza gencat senjata israel komitmen serang tangkap wilayah jalur gaza hamas bagi telegram lansir al jazeera rabu janji gencat senjata perang israel rata wilayah gaza orang bunuh,hate_speech,normal,normal,normal
level postingan pro zionis anti boikot langsung gua blok bodoamat temen anjg,normal,normal,insult,normal
vince steelhammer,insult,normal,normal,normal
liat dukung ahok engga kafir dn dukung anies engga muslim ap orang beda haluan dikatain kafir ap haluan suci,normal,hate_speech,hate_speech,hate_speech
sampah,normal,hate_speech,hate_speech,hate_speech
twit asik akun akun pro nista agama akun akun buzzer kerja hujat,hate_speech,normal,normal,normal
gambar antre beli masker china akibat pneumonia mikoplasma cepat sebar,insult,normal,normal,normal
mag bullying jalang simpan tas,normal,insult,insult,insult
cina contoh iring tingkat beras sintetis jagung sintetis dll produk ber label solusi sendiri masyarakat cina tipu n npasar isi malaysia sana,normal,normal,hate_speech,normal
salah iblis betina lg gentayang nduku calon legislatif gagal nsi tipu ijasah palsu nskg tlh ber xe x xa,hate_speech,hate_speech,insult,normal
atmosfer adab patriarkal lelaki penis atribut maha transgender perempuan transpuan anggap khianat serius lelaki url url,normal,normal,insult,hate_speech
doa saudara saudara palestine mesti je israel cetus create kali aggressive doa saudara saudara palestine mesti je israel cetus create kali aggressive,hate_speech,normal,normal,normal
s d fitnah keji dajjal dajjal bingung keluar bijak bijak langsung jadi referensi presiden negara republik indonesia muak yahudi yaman,insult,normal,hate_speech,normal
hm pertamatama duniya chutiyapa hal n chosing pergi alir somehw hilang alir u alir lawan samping bangun alir hidup sempat duniya gay tel lagane,hate_speech,normal,insult,normal
suara wanita timur senang pedas tegur erlangga kader sentil yusril pimpin partai gurem glora si bocil gibran ajar wanita kulit putih papua turun china prabowo turun c kai,normal,normal,hate_speech,normal
hasil revolusi mental cacat mental optimis ganti presiden,threat,normal,normal,normal
ayo putra mahkota saudi galang kuat henti agresi militer palestina negara merdeka klo negara timur kompak slsai neh zionis israel ayo putra mahkota saudi galang kuat henti agresi militer palestina negara merdeka klo negara timur kompak slsai neh zionis israel,threat,normal,hate_speech,normal
maaf lupa bilang n nperan nww villager dokter seer witch n nmaaf y noo,normal,normal,insult,normal
masyarakat takut pilih anies bowo anies takut mahasiswa drogba saw x gibran israel kiai thoifur hamas kamis nyuci shani aguero sarap piala asia,normal,normal,insult,normal
jokowi panggil kemendikbud buntut tuding ijazah palsu gibran,normal,insult,insult,normal
israel biadab revenge kosong gaza infrastruktur zionisme sesuai protocol of zion bom phosphor fosfor larang perang rejim netanyahu layak jadi jahat perang,harassment,normal,hate_speech,normal
sadar tiru sifat yahudi al llamah muqbil al wadi y rahimahullah orang fatwa ulama fatwa cocok hawa nafsu terima paling fatwa tindak sifat yahudi riyadhul jannah hlm the quran path kena sunnah path x jujur fatwa al allamah muqbil al wadi y rahimahullah orang fatwa ulama fatwa cocok hawa nafsu terima paling fatwa tindak sifat yahudi riyadhul jannah hlm follow instagram,threat,normal,normal,normal
sebenernya ogah temenan ama rl rp n nga anjing canda jan nang wkwk gatau orang bikin bacot si ae wkwk,insult,insult,hate_speech,hate_speech
dina xf x f x x xf x f x x xf x f x x xf x f x x ih anjir model brandnya ajsjsjsjaja,insult,insult,normal,normal
aswaja jaga allah swt hajar wahabi syiah kena getah,threat,hate_speech,hate_speech,normal
komunis,normal,hate_speech,hate_speech,hate_speech
harap coblos jokowi jk ubah ahmadiyah bebas beraktifitas ibadah,hate_speech,normal,normal,normal
ra weruh munyuk munyuk etan pro israel ngetweet yha wes do sadar po,hate_speech,normal,normal,normal
buka hati munafik sakit nyari obat ngediemin parah mati,normal,normal,hate_speech,hate_speech
nemenin ahok biar puasin ahok si maho xf x f x x xf x f x x xf x f x x xf x f x x,harassment,hate_speech,hate_speech,hate_speech
golong a halina kawin robi cs frustasi ngolongan a beli mangga campur sirup barium radium gua lupa belakang wkwkw ngolongan a balga intel ngolongan a ceri si gendut puber,normal,normal,insult,normal
pikir bayi tabung padu sperma kampret onta ragu,hate_speech,hate_speech,insult,hate_speech
klean ada nobar film g s pki bubar rekam simpan ingat klean pki,hate_speech,normal,normal,normal
yo jual seh koh mata ii picek ta isa liak tas njlentrek sak taek ndayak ndek toko ntas kulit lumpia sek kosong ken tas kulit kadal koh cocok ilat,threat,normal,normal,normal
apasih univ ngedown mulu ccd kesel gwe,hate_speech,insult,insult,insult
nemu jurnal materi kemaren lima cina isi pikir fantastis bet njir otak aing kagak,normal,normal,hate_speech,normal
cocot rusak,threat,hate_speech,hate_speech,hate_speech
gara kristen taurat amburadul paham kau,hate_speech,hate_speech,normal,normal
perang nabi haram bunuh wanita anak anak ortu kutip nyata sahabat muslim dlm diskusi dgku ttg israel vs hammas kutip ijin beliau perang bunuh wanita anak orang tua tiru,normal,normal,hate_speech,normal
hak im cacat logika buta huk um,insult,normal,normal,normal
asw sesat,hate_speech,insult,insult,insult
kesan nama panggil gujju ur lucu kepala keras suka u manusia salah fav bersamasama milik naksir u noo warna u pastel biru,hate_speech,normal,normal,hate_speech
pondok orang buta hati mata batin tante bilang kencan pondok marsudi jual jadwal pondok minggu sore aq pulang biasa suka alih alih,normal,normal,insult,normal
prabowo mimpi klou jdi ri mustahil jdi jngan mimpi siang bolong mas piyu sakit mimpi,hate_speech,normal,normal,normal
lil pake ava jm fandom fandom bajing jm buta fandom hate member hate army kedok ot,insult,normal,normal,normal
lihat rakyat ragu titis satria pingit,normal,hate_speech,hate_speech,hate_speech
uea kirim tim medis emirat gaza selamat orang orang israel luka,normal,normal,insult,normal
real bocah igun kaya gay,hate_speech,normal,normal,normal
stu lgi nich muncul anjing na yahudi israel d indonesia n ngilaaa gila cma d rezim anjing na israel berani muncul terang an d indonesia,hate_speech,hate_speech,normal,normal
najis beut main ml kalah mulu n ntemen buta map n natas jebol push xf x f x xad xf x f x xad xf x f x xad xf x f x x c,insult,hate_speech,normal,insult
teroris israel caplok tanah palestina palestina hilang tanah air teroris israel caplok tanah palestina palestina hilang tanah air,insult,normal,normal,normal
jelek budek lagi nga,threat,normal,normal,normal
vclip penuh bokong xf x f x x xf x f x x xf x f x x xf x f x x,insult,insult,normal,normal
jalan hidup munafik profesional n ndimana coba pura pura apa,normal,hate_speech,hate_speech,normal
hakim mesir gambar jajah zionis israel palestina binatang monyet babi,normal,normal,insult,normal
udik abis minum soda langsung sakit tenggorok xf x f x x kemarin karna paket minum soda lemon langsung kayak pilek sakit tenggorok bangun tidur xf x f x x minum es es es gt gula campur sensitif xf x f x xa,insult,normal,normal,normal
syiah sufi suka ahlussunnah baik simpang kawan lawan sampe dah yaman kaya suriah asai syiah sunni bantai,hate_speech,normal,normal,normal
sifat pribadi beda bilang sempit otak kristen berfikir firman alah hidup yesus semesta raya isi firman allah hidup,normal,normal,hate_speech,normal
media israel lapor perintah israel larang lembaga media wawancara tahan israel bebas jumat protokol tetap israel terima lembaga aman israel bawa rumah sakit temu keluarga lansir in context otoritas israel harap pantau cermat wawancara sandera bebas tunjuk alam culi media israel susul bencana pr israel tahan usia yochaved lifshitz laku lembut kelompok lawan palestina oktober follow for more media israel lapor perintah israel larang lembaga media wawancara tahan israel bebas jumat protokol tetap israel terima lembaga aman israel bawa rumah sakit temu keluarga lansir in context otoritas israel harap pantau cermat wawancara sandera bebas tunjuk alam culi media israel susul bencana pr israel tahan usia yochaved lifshitz laku lembut kelompok lawan palestina oktober follow for more,normal,normal,threat,normal
caption aceh aceh news lag target kapal kargo israel serang kali hantam drone shahed duga milik iran nember serambinews duga serang pesawat awak hantam kapal kontainer milik usaha israel samudera hindia jabat tahan amerika serikat serang drone shahed buat iran jumat jabat tahan as nama kantor berita the associated press sabtu salur satelit pan arab al mayadeen lapor kapal israel sasar samudera hindia drone target kapal cma cgm symi bendera malta operasi perancis air internasional kapal lapor alami rusa drone ledak awak kapal luka jabat as bukti kait iran serang pantau situasi cermat iran komentar lapor usaha aman maritim ambrey serang transmisi lacak kapal henti tinggal labuh uni emirat arab kapal kelola usaha afiliasi israel nilai alas kapal sasar ambrey ap awak kapal sikap olah kapal hadap ancam mati sistem lacak selasa tinggal labuh jebel ali dubai kapal jalan laut merah lewat yaman lengkap,threat,normal,normal,normal
do u guys ever listen or robotes and dodos sitting in cust care ldiots,insult,normal,normal,normal
mao naek kek bodo kaga ngaruh keleees lihat polling gogle presiden ganti ha ha ha,hate_speech,normal,insult,normal
jaga sehat pikir logika,hate_speech,normal,insult,normal
heran orang aulyaa dlm al maidah ulama pimpin kekeh bilang arti pimpin,hate_speech,normal,normal,normal
gt v eek conqueror bgst gt v bantu karma dendi delio xf x f x xad xf x f x xadi need best jungler,hate_speech,insult,normal,normal
artikel omong kosong lol hilang argumen buzzfeed gamergate,normal,insult,insult,normal
tulis postingur katakata gagal lagu arti lagu persis maksud satusatunya lawan kanker muncul dapat,hate_speech,hate_speech,normal,normal
mobil cekcok bokin gegara air mineral bokin beli produk israel larang km klo beli produk israel sy turunin beli es teh manis minum glek pulang menang n bangga puas boykot,normal,normal,threat,normal
bocah gendut jatuh pohon ngakak tertawa funny funny time pagi siang sore malam respect cerita,normal,insult,insult,normal
tu peluang kerja rakyat warga asing ni dah bolot sektor xe x xa,threat,normal,normal,normal
om abi bieu panggih jeung crush na ibadah jeung sholawat teu apal haha heeh da ktp na ge katolik rek manggihan aww bang ajarkeun urng shalat,insult,normal,normal,normal
manusia sinting url,threat,insult,insult,insult
hadap ulama rommy alas ppp dukung jokowi,normal,normal,hate_speech,normal
modus papo cungkring usap usap rambut,insult,normal,normal,normal
rizal ramli presiden tangkap orang berengsek,insult,normal,normal,normal
bismillah nahan sepo kutuk,insult,normal,normal,normal
presiden mapia,hate_speech,normal,normal,normal
elon musk nyata dukung israel serang gaza hancur hamas fakta google elon musk dukung israel temu pm netanyahu dukung israel pasca serang hamas musk henti propaganda bunuh netanyahu hamas hancur musk pilih,threat,normal,normal,normal
punuk onta,normal,hate_speech,hate_speech,hate_speech
baangg,hate_speech,normal,normal,normal
loe bong denger jerit tani denger jerit tani garam jgn loe bolot akut perata loe maksud bong mohon segera bersihin kerak otak lumpur loe era,threat,hate_speech,hate_speech,hate_speech
lawan hadap gentar putus mk boleh pasang prabowo gibran maju rakyat indonesia pintar pilih pasang cacat moral politik mari gerak lincah raih dukung s,insult,normal,normal,normal
alas pecat menlu qin gang selingkuh jabat dubes as cina,normal,normal,hate_speech,normal
gils jual pc jucan w mikir wkwkkw nedan,insult,normal,normal,normal
perintah rezim tongkol polisi tongkol ulama kasus ye ken,hate_speech,hate_speech,normal,normal
link igstory srael hamas sasar orang awam netanyahu pm canada justin trudeau net israel sedia lalu rakyat gaza zon selamat yelah link artikel instastory,insult,normal,normal,normal
era sby bangun papua hambalang bangun pln mangkrak brp,hate_speech,normal,normal,normal
tank israel hancur lebur kisah burung ababil,threat,normal,normal,normal
goblog pelihara,insult,hate_speech,hate_speech,hate_speech
send orgil kali mamah force,insult,normal,normal,normal
foto nstagram pro palestina postingan miss universe indonesia komentar miss israel kalimat tohok jawapos miss israel nama yityish anynaw sindir miss universe indonesia whulandary herman dukung palestina whulandary herman dukung terang terang warga palestina instagram rekan miss israel yityish aynaw tanggap kritik whulandary herman dukung palestina salah unggah instagramnya whulandary herman captionnya mata buta hati bebas kau bicara mimpi noam ku partai agama nasionalis sayap kanan israel bakar bunuh hamas cerocos baca lengkap,threat,normal,normal,normal
presiden anies vs peb k p nepotisme menang rb haaland arab saudi uni emirat arab warningyahudi jatinangor gal gadot ganjar israel speed hamas goat burger layla sabana halloween dubai dkriuk kembang feni jengkol ratih syailendra,normal,normal,insult,normal
bicara mengoom server tmicro skrip itup hehe,insult,normal,normal,normal
persib butut soler goblog,hate_speech,insult,insult,hate_speech
dawuh guru orang gila laki laki lelaki terkadang bingung curhat ustadzah mumpun handayayekti dawuhguru orang gila laki laki lelaki terkadang bingung curhat ustadzah mumpuni handayayekti support akun follow lupa    like comment save share,insult,normal,normal,normal
knp israel kacau mana geram negara,hate_speech,normal,normal,normal
astaghfirullah jahat rezim,normal,hate_speech,hate_speech,hate_speech
muslim jabat negara tindak bangsa negara,normal,normal,hate_speech,hate_speech
wahabi ame siah mata koin syiah nikah mut ah wahabi nikah misyar syiah laknat sahabat nabi wahabi laknat turun nabi syiah istri nabi kafir wahabi bapa nabi kafir clear no debat,insult,hate_speech,hate_speech,hate_speech
yeyy dpat cogan d azar xf x f x x xf x f x x url,insult,hate_speech,hate_speech,hate_speech
bersih jajar kemenag allah swt janji rampas tuhan buang,hate_speech,normal,normal,hate_speech
gila yaah simpati cepet nyeedot kuota gede harga mahal mahal kayak simpati,normal,normal,hate_speech,normal
all femal ghostbusters,harassment,normal,normal,normal
hahahahaha tai cuk,insult,hate_speech,hate_speech,hate_speech
thbun sar djmhi detik detik detik dukun santet indonesia serang israel pakai rudal jin semangat ngab sc tribunnews,threat,normal,normal,normal
sewa trump kabur ambil suara muda hitam biden trump menang lupa apa dari,hate_speech,normal,insult,normal
jijik bodoh,insult,hate_speech,hate_speech,hate_speech
idiot latih tenis jerman asalusul ikat serbia lupa holocaust genosida muslim bosnian benci beda pegang,hate_speech,normal,normal,hate_speech
kangen nauna asli biarpun galak kocak ngebenerin sikap kmarinnya karna cinta buta ituuu,normal,normal,insult,normal
budak sekolah agama malaikat tolong tegur salah,normal,normal,hate_speech,normal
cari makan eksploitasi agama puncak jahat manusia tunggu sempat jahat,normal,normal,insult,normal
awaasss jgn sampe berita sampe akh gerung ntar susah nyari kosakatany klu bcr micingin mata bibir monyong samping suara ky lg nhn kentut politik kotor skl jmn klu brt plng ky nhn ngeden dungu xf x f x x b,threat,hate_speech,insult,hate_speech
allan nairn prabowo presiden,normal,normal,hate_speech,normal
,insult,normal,normal,normal
perang khandaq israel kepung palestina tel aviv kepung banjir duluan,hate_speech,normal,normal,normal
ganggu pergi gertak kalah gertak yuh ass,normal,harassment,harassment,harassment
warga israel yahudi laknatullah lari n banyak lari turki tuju pertama negara eropa n turki pihak palestina turki berani tolak masuk,threat,normal,normal,normal
gila gila gua,insult,normal,normal,normal
d takut inya tim komunis akn d kpk tgb nyerah k pngkuan zionis pkip,normal,normal,hate_speech,normal
tragis group lgbt riau sebar video sodomi tahan kapolda riau acuh tindak polsek,sexually_explicit,normal,normal,normal
anies vs peb kep nepotisme dapet rb israel kiki bella hadid fuji fikri nabi muhammad madrid eric nam malming yenny wahid do not stay silent katniss oktober juve anak muda tampil bellingham,normal,normal,sexually_explicit,normal
gilaa tolol gila paraah paraah,harassment,normal,normal,normal
ngerasa singgung dibully karna badan gendut doang mah dibully karna anggur benci sumpah cit anggur makan loe,normal,normal,insult,normal
s sinting tan,insult,normal,normal,normal
